class,image,signatureSample0,signatureSample1,signatureSample2,signatureSample3,signatureSample4,signatureSample5,signatureSample6,signatureSample7,signatureSample8,signatureSample9,signatureSample10,signatureSample11,signatureSample12,signatureSample13,signatureSample14,signatureSample15,signatureSample16,signatureSample17,signatureSample18,signatureSample19,signatureSample20,signatureSample21,signatureSample22,signatureSample23,signatureSample24,signatureSample25,signatureSample26,signatureSample27,signatureSample28,signatureSample29,signatureSample30,signatureSample31,signatureSample32,signatureSample33,signatureSample34,signatureSample35,signatureSample36,signatureSample37,signatureSample38,signatureSample39,signatureSample40,signatureSample41,signatureSample42,signatureSample43,signatureSample44,signatureSample45,signatureSample46,signatureSample47,signatureSample48,signatureSample49,signatureSample50,signatureSample51,signatureSample52,signatureSample53,signatureSample54,signatureSample55,signatureSample56,signatureSample57,signatureSample58,signatureSample59,signatureSample60,signatureSample61,signatureSample62,signatureSample63,signatureSample64,signatureSample65,signatureSample66,signatureSample67,signatureSample68,signatureSample69,signatureSample70,signatureSample71,signatureSample72,signatureSample73,signatureSample74,signatureSample75,signatureSample76,signatureSample77,signatureSample78,signatureSample79,signatureSample80,signatureSample81,signatureSample82,signatureSample83,signatureSample84,signatureSample85,signatureSample86,signatureSample87,signatureSample88,signatureSample89,signatureSample90,signatureSample91,signatureSample92,signatureSample93,signatureSample94,signatureSample95,signatureSample96,signatureSample97,signatureSample98,signatureSample99
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c1-2.PNG,12.2359,12.2359,11.4011,11.4011,10.0125,10.0125,9.19336,9.19336,7.79644,7.79644,7.00365,7.00365,6.27039,6.27039,4.85638,4.85638,3.44255,3.44255,2.02923,2.02923,0.620037,0.620037,0.806913,0.806913,1.70815,3.03058,3.03058,4.41034,4.41034,5.8067,5.8067,6.45893,6.45893,7.87302,7.87302,9.28715,9.28715,10.0259,10.0259,11.4361,11.4361,12.8472,12.8472,14.259,14.259,15.6711,15.6711,17.0836,17.0836,17.8359,16.4271,16.4271,15.8067,15.8067,15.0195,15.0195,14.259,14.259,12.8472,12.8472,11.4361,11.4361,10.0259,10.0259,8.61691,8.61691,7.21002,7.21002,5.8067,5.8067,4.41034,4.41034,3.03058,3.03058,1.70815,0.806913,0.806913,1.62822,1.62822,1.54417,1.54417,2.84917,2.84917,4.22506,4.22506,4.85638,4.85638,6.27039,6.27039,7.68447,7.68447,8.41335,8.41335,9.82435,9.82435,10.5949,10.5949,11.9994,11.9994,12.7952
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c10-2.PNG,16.7935,16.7935,15.7963,15.7963,14.7994,13.7516,13.7516,12.7517,11.7518,11.7518,10.752,9.75223,9.75223,8.75248,7.7528,7.7528,6.75321,5.75377,5.75377,4.75457,3.75578,3.75578,2.75788,1.76236,1.76236,0.778398,0.325429,0.325429,1.26724,2.25962,2.25962,3.25667,4.2551,4.2551,5.25413,6.25347,6.25347,7.25299,8.33802,8.33802,9.32859,10.2521,10.2521,11.3147,12.4475,12.4475,13.4328,14.6067,14.6067,15.4091,16.5637,16.5637,15.4091,15.4091,14.4201,13.305,13.305,12.4475,11.3147,11.3147,10.2521,9.25235,9.25235,8.25263,7.29309,7.29309,6.29994,5.30935,5.30935,4.3231,3.34503,3.34503,2.38521,1.47961,1.47961,0.8302,1.09052,1.09052,1.92074,2.86168,2.86168,3.83265,4.81552,4.81552,5.80424,6.79627,6.79627,7.79033,8.78574,8.78574,9.78209,10.7791,10.7791,11.7766,12.7517,12.7517,13.7516,14.7994,14.7994,15.7963
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c10c-1.PNG,40.9266,39.9669,38.0537,37.1006,35.2021,34.6019,32.7419,31.8182,29.5871,28.6664,26.8421,25.9397,24.1579,23.2803,21.557,20.1826,18.4952,16.8763,16.099,13.9347,13.2115,10.3831,9.70447,7.69264,6.30944,5.5267,4.37912,3.7652,4.30632,5.24828,5.84608,7.69264,8.70684,11.0033,13.5033,14.7977,17.4423,18.7848,20.6341,21.1667,23.1285,24.5267,26.5416,27.1794,28.5175,29.9313,32.0434,32.7573,34.899,35.6399,37.1582,37.1582,36.3933,34.899,33.4859,31.3434,30.6292,28.5175,27.8385,25.7699,25.1361,23.1285,21.7323,19.7837,19.2648,16.5489,15.2064,12.5686,10.0352,8.83593,6.71369,5.69573,3.92954,3.57897,3.43643,3.3825,4.94382,6.30944,8.29512,8.96891,11.1104,12.5223,14.0739,15.4739,17.1087,19.3315,20.1826,21.9227,22.8087,25.0447,25.9397,27.7513,28.6664,30.5128,31.443,33.3156,34.2572,36.15,37.1006,39.0092
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c10c-2.PNG,47.729,46.7559,44.8132,43.4264,41.5206,39.6241,37.7383,36.7999,35.3143,33.4844,31.6752,29.8902,28.1342,26.413,25.5675,23.9125,21.7062,20.7852,18.6381,17.2478,15.1934,14.5908,12.6588,11.7624,10.1836,8.89136,8.02545,7.32836,7.42,7.42,7.59278,9.0001,9.56772,11.5817,12.5279,12.7056,14.1411,16.6903,18.4148,19.3801,21.3103,21.8946,23.9147,25.9702,27.3301,28.7649,30.2639,30.4153,31.4567,33.1362,34.3575,36.1237,36.1237,34.3575,33.989,32.8454,31.2143,30.2639,28.0956,26.6248,25.9702,24.5592,23.2952,21.3103,19.3801,17.5229,15.7642,14.4642,12.9103,10.5868,9.56772,8.05899,7.37247,6.85579,7.32836,7.89641,9.0001,10.4714,12.1778,14.0338,15.1934,16.5994,17.9285,20.0519,20.9097,23.1055,24.7336,25.5675,27.2688,29.0083,30.3416,32.1637,34.0058,35.8648,36.7999,38.6797,40.2648,42.1799,44.1026,46.0318
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c10ci-2.PNG,87.2546,84.9528,80.8088,79.6363,76.6638,73.9102,70.2697,66.8053,63.309,59.9426,56.4107,52.9643,49.6213,46.4039,42.8526,38.8758,35.4732,32.2083,28.4668,25.5613,21.4088,18.8035,16.8699,13.7677,12.5912,12.7094,13.3599,15.3442,17.9547,21.4312,25.4209,29.7178,34.439,36.8984,41.957,46.7687,51.6163,56.0123,59.6218,63.3415,67.1531,69.6505,71.9935,75.2509,78.5896,81.9997,84.7575,87.6111,89.2304,91.0409,91.0409,89.2304,87.6111,84.7575,81.9997,78.5896,75.2509,71.9935,69.6505,66.6151,62.8345,59.6218,56.9134,53.4579,48.9979,44.1799,39.102,35.409,31.8532,29.415,25.3822,21.525,17.9547,15.3442,14.0896,13.622,13.5857,14.7506,16.8699,19.6368,22.817,25.5613,29.1272,32.2083,35.4732,39.3873,42.8526,46.4039,50.023,53.3221,56.7292,59.9426,63.309,66.9999,70.4121,72.1269,75.8233,77.6373,80.6607,83.8735
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c10i-2.PNG,1.5948,1.5948,1.5948,1.5948,1.5948,1.5948,1.5948,1.5948,1.5948,1.5948,2.54167,2.54167,2.54167,2.54167,2.54167,2.54167,2.54167,2.54167,2.54167,2.54167,1.56846,1.56846,1.56846,1.56846,1.56846,1.56846,1.56846,1.56846,1.56846,1.56846,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,0.678286,1.56846,1.56846,1.56846,1.56846,1.56846,1.56846,1.56846,1.56846,1.56846,1.56846,2.54167,2.54167,2.54167,2.54167,2.54167,2.54167,2.54167,2.54167,2.54167,2.54167,1.5948,1.5948,1.5948,1.5948,1.5948,1.5948,1.5948,1.5948,1.5948,1.5948,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157,0.737157
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c10n-2.PNG,35.1475,34.8268,35.9558,36.3777,36.2002,36.2432,37.1226,38.1131,37.8254,39.0292,38.9799,39.9819,39.9819,38.9799,38.1618,37.8254,37.3048,36.506,36.2432,36.2002,36.3777,35.1486,34.8268,33.7785,33.7116,31.9554,30.2627,27.6967,26.4338,23.9589,21.571,19.3025,17.2007,15.3344,14.5183,13.1932,11.3692,10.1733,9.36667,8.18119,8.31685,8.02292,8.21976,9.78788,10.7238,11.9246,14.0155,15.4801,17.0537,19.8522,20.9348,21.7914,23.5385,25.3231,27.1377,28.6114,30.4928,32.3884,34.6012,35.9494,38.1392,39.8341,38.1392,35.9494,34.6012,32.7116,30.8359,29.904,28.0545,26.6627,24.8938,23.1625,21.478,19.8522,17.0537,16.1454,14.0155,11.9246,11.5776,9.78788,8.21976,9.02264,9.28498,9.05388,9.55898,10.0566,10.9954,12.7162,13.7993,15.3344,16.2328,18.227,20.2974,21.571,23.9589,26.4338,28.9736,31.5625,33.2793,34.1677
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c10ni-1.PNG,13.8372,13.8372,12.8592,12.8592,11.6915,11.6915,10.7042,10.7042,9.71953,9.71953,8.73831,8.73831,7.59548,6.60154,6.60154,5.60974,5.60974,4.62148,4.62148,3.63963,3.63963,2.67129,2.67129,1.73917,1.73917,0.955816,0.496902,0.496902,1.46144,1.46144,2.45452,2.45452,3.4516,3.4516,4.44999,4.44999,5.44898,5.44898,6.44827,7.44776,7.44776,8.44737,8.44737,9.44706,9.44706,10.5157,10.5157,11.5095,11.5095,12.5043,13.4999,13.4999,12.5043,12.5043,11.5095,11.5095,10.5157,10.5157,9.5232,9.5232,8.53243,8.53243,7.54411,6.55932,6.55932,5.57994,5.57994,4.60944,4.60944,3.65486,3.65486,2.73297,2.73297,1.89215,1.89215,0.496902,0.598353,0.598353,1.57135,1.57135,2.5652,2.5652,3.56249,3.56249,4.56097,4.56097,5.56,5.56,6.60154,7.59548,7.59548,8.59084,8.59084,9.58716,9.58716,10.7042,10.7042,11.6915,11.6915,12.6808
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c10ni-2.PNG,36.3968,35.0778,33.3956,31.1709,29.889,27.3642,25.1627,23.935,21.5484,19.2816,18.2871,16.2104,14.2206,13.2235,11.3676,9.40707,7.80083,6.89119,5.17297,4.59561,4.21369,4.12629,4.92924,4.88304,7.08548,8.802,9.70107,11.238,13.4407,15.3598,16.3267,18.076,20.2263,21.207,23.1734,25.1452,26.1326,28.1103,29.9728,30.9678,32.9587,34.9506,35.9469,37.9401,39.934,41.9285,42.9259,44.9211,46.8624,47.8615,47.8615,45.8634,44.8644,42.9259,40.9312,39.934,37.9401,35.9469,33.9545,32.9587,30.9678,28.9781,28.1103,25.9967,24.0116,23.02,21.0392,19.0625,18.076,16.3267,14.1492,13.1744,11.238,9.70107,7.92715,7.08548,4.88304,3.54584,3.15237,3.26593,4.404,4.65518,6.5115,8.73026,9.40707,11.2309,13.1823,15.1823,16.2104,18.4209,20.5662,21.5484,23.935,25.1627,26.409,27.6715,29.889,31.1709,33.7665,35.4875
circle,C:/Users/Jonna/Desktop/ups/vision/Practica_3/Preparacion_dataset/assets\circle\c11-2.PNG,29.8547,28.6757,27.5188,26.5317,25.5456,24.4042,23.414,22.2981,21.3038,20.3101,18.3247,17.2274,16.1794,15.2342,14.2382,13.2429,12.2484,11.1809,10.1814,8.18267,7.1836,6.21231,5.21927,4.2295,3.24602,2.27696,1.3537,0.693136,1.94327,2.90245,3.88229,4.87033,5.86243,6.85682,7.85264,8.8494,9.84682,11.843,12.8415,13.8402,14.8391,15.8274,16.8272,17.827,18.8269,19.8353,21.8644,22.8627,23.861,24.933,26.0377,25.9288,24.8595,23.8262,22.8263,20.8266,19.8353,18.8359,17.8366,16.8373,15.8382,14.9178,13.9245,12.9323,10.9521,9.96497,8.98068,8.0003,7.02544,6.05878,5.10499,4.17289,3.28102,1.86258,1.67966,2.04287,2.74324,3.58852,4.49772,5.4389,6.39794,7.20728,9.20049,10.1981,11.1809,12.1805,13.1802,14.1799,15.1796,16.1794,17.2274,19.2221,20.2198,21.2177,22.2981,23.2928,24.288,25.3953,26.3869,27.5188
